Query,Assessment_url
Senior Software Engineer with 5 years Python and cloud experience,https://www.shl.com/en/assessments/cognitive-ability/
Senior Software Engineer with 5 years Python and cloud experience,https://www.shl.com/en/assessments/personality/
Senior Software Engineer with 5 years Python and cloud experience,https://www.shl.com/en/assessments/situational-judgment/
Junior Data Scientist with machine learning background,https://www.shl.com/en/assessments/cognitive-ability/
Junior Data Scientist with machine learning background,https://www.shl.com/en/assessments/personality/
Junior Data Scientist with machine learning background,https://www.shl.com/en/assessments/situational-judgment/
Product Manager for SaaS company,https://www.shl.com/en/assessments/cognitive-ability/
Product Manager for SaaS company,https://www.shl.com/en/assessments/personality/
Product Manager for SaaS company,https://www.shl.com/en/assessments/situational-judgment/
Sales Executive for B2B software,https://www.shl.com/en/assessments/cognitive-ability/
Sales Executive for B2B software,https://www.shl.com/en/assessments/personality/
Sales Executive for B2B software,https://www.shl.com/en/assessments/situational-judgment/
DevOps Engineer with Kubernetes experience,https://www.shl.com/en/assessments/cognitive-ability/
DevOps Engineer with Kubernetes experience,https://www.shl.com/en/assessments/personality/
DevOps Engineer with Kubernetes experience,https://www.shl.com/en/assessments/situational-judgment/
